"","Cluster","respondent_id","How_express_values-Grace","How_express_values-Mediation_social_healing","How_express_values-Volunteer","Spirituality_important","Number_of_religions","Chose_more_than1_relig","Values_explores_big_questions","Values_multiple_faiths","Values_Resource_during_challenges","Gender_code","Ethnic_code"
"1",1,118061753156.639,0.48888888888889,0.298830409356725,0.514912280701754,0.590350877192983,1,0,0.571929824561404,0.291812865497076,0.244444444444445,0.793567251461988,0.846783625730995
"2",2,118061513589.04,0.564898663216904,0.46269943941354,0.523932729624838,1,2.49029754204398,1,0.589047003018542,0.318240620957309,0.273393704182838,0.794307891332471,0.833980163863735
"3",3,118062099012.132,0.374347069065584,0.309344167150319,0.414393499709807,0,2.50029019152641,1,0.596633778293674,0.264654672083575,0.251305861868833,0.778293673824724,0.840394660475914
