,collector_name,Age,n,proportion_per_collector_values,n_total,as.factor.collector_name.
74,OBP_IG_AD_Collector,18-24,21,0.019480519,1078,OBP_IG_AD_Collector
75,OBP_FB_AD_Collector,18-24,12,0.017647059,680,OBP_FB_AD_Collector
76,OBP_ Announcement Collector,85-94,25,0.016015375,1561,OBP_ Announcement Collector
77,Partners-Flex Copy collector 1,75-84,1,0.015873016,63,Partners-Flex Copy collector 1
78,Partners-Flex Copy collector 1,NA,1,0.015873016,63,Partners-Flex Copy collector 1
79,OBP_IG_AD_Collector,NA,17,0.015769944,1078,OBP_IG_AD_Collector
80,OBP_ Announcement Collector,18-24,23,0.014734145,1561,OBP_ Announcement Collector
81,OBP_FB_AD_Collector,NA,10,0.014705882,680,OBP_FB_AD_Collector
82,OBP_FB_AD_Collector,65-74,9,0.013235294,680,OBP_FB_AD_Collector
83,OBP_ Podcast and Radio,85-94,27,0.012881679,2096,OBP_ Podcast and Radio
84,OBP_ Linktree Collector,NA,10,0.012594458,794,OBP_ Linktree Collector
85,OBP_IG_AD_Collector,65-74,13,0.012059369,1078,OBP_IG_AD_Collector
86,OBP_ Event Follow-UpCollector,85-94,16,0.011569053,1383,OBP_ Event Follow-UpCollector
87,OBP_ Linktree Collector,75-84,9,0.011335013,794,OBP_ Linktree Collector
88,OBP_ Announcement Collector,NA,13,0.008327995,1561,OBP_ Announcement Collector
89,App Users and members Collector 1,NA,3,0.007772021,386,App Users and members Collector 1
90,OBP_FB_AD_Collector,75-84,5,0.007352941,680,OBP_FB_AD_Collector
91,OBP_ Podcast and Radio,NA,14,0.006679389,2096,OBP_ Podcast and Radio
92,App Users and members Collector 1,85-94,2,0.005181347,386,App Users and members Collector 1
93,OBP_ Event Follow-UpCollector,18-24,7,0.005061461,1383,OBP_ Event Follow-UpCollector
94,OBP_ Event Follow-UpCollector,NA,7,0.005061461,1383,OBP_ Event Follow-UpCollector
95,OBP_PAUSE1_Collector,NA,5,0.004770992,1048,OBP_PAUSE1_Collector
96,OBP_ Event Follow-UpCollector,Prefer not to say ,6,0.004338395,1383,OBP_ Event Follow-UpCollector
97,OBP_FB_Collector,18-24,1,0.004115226,243,OBP_FB_Collector
98,OBP_FB_Collector,85-94,1,0.004115226,243,OBP_FB_Collector
99,OBP_PAUSE1_Collector,18-24,3,0.002862595,1048,OBP_PAUSE1_Collector
100,OBP_FB_AD_Collector,105 or older,1,0.001470588,680,OBP_FB_AD_Collector
101,OBP_ Podcast and Radio,95-104,3,0.001431298,2096,OBP_ Podcast and Radio
102,OBP_ Linktree Collector,13-17,1,0.001259446,794,OBP_ Linktree Collector
103,OBP_ Podcast and Radio,13-17,2,0.000954198,2096,OBP_ Podcast and Radio
104,OBP_PAUSE1_Collector,95-104,1,0.000954198,1048,OBP_PAUSE1_Collector
105,OBP_IG_AD_Collector,75-84,1,0.000927644,1078,OBP_IG_AD_Collector
106,OBP_IG_AD_Collector,85-94,1,0.000927644,1078,OBP_IG_AD_Collector
107,OBP_ Event Follow-UpCollector,95-104,1,0.000723066,1383,OBP_ Event Follow-UpCollector
108,OBP_ Event Follow-UpCollector,105 or older,1,0.000723066,1383,OBP_ Event Follow-UpCollector
109,OBP_ Announcement Collector,13-17,1,0.000640615,1561,OBP_ Announcement Collector
110,OBP_ Announcement Collector,95-104,1,0.000640615,1561,OBP_ Announcement Collector
111,OBP_ Announcement Collector,105 or older,1,0.000640615,1561,OBP_ Announcement Collector
